Distant,Aloof,Unsociable,Introverted,Antisocial
52.5,50.0,57.5,60.833333333333336,59.166666666666664
40.833333333333336,49.166666666666664,43.333333333333336,51.666666666666664,49.166666666666664
40.0,50.0,40.0,50.0,43.0
51.666666666666664,44.166666666666664,48.333333333333336,46.666666666666664,46.666666666666664
50.833333333333336,40.0,37.5,45.833333333333336,45.0
41.0,51.0,39.0,55.0,50.0
45.0,40.833333333333336,41.666666666666664,43.333333333333336,35.833333333333336
44.166666666666664,36.666666666666664,37.5,31.666666666666668,32.5
41.666666666666664,47.833333333333336,40.0,41.666666666666664,37.5
52.5,53.333333333333336,53.333333333333336,54.166666666666664,50.0
49.166666666666664,44.166666666666664,44.166666666666664,45.833333333333336,40.0
66.66666666666667,60.833333333333336,65.0,63.333333333333336,61.666666666666664
42.5,48.333333333333336,40.0,46.666666666666664,45.0
40.833333333333336,48.333333333333336,42.5,46.666666666666664,44.166666666666664
40.0,40.833333333333336,32.5,40.833333333333336,39.166666666666664
45.0,41.666666666666664,44.166666666666664,45.0,40.0
41.666666666666664,39.166666666666664,35.0,41.666666666666664,36.666666666666664
44.166666666666664,45.0,40.833333333333336,42.5,30.833333333333332
47.5,38.333333333333336,44.166666666666664,45.0,45.0
38.333333333333336,42.5,43.333333333333336,45.833333333333336,42.5
50.0,52.5,43.333333333333336,54.166666666666664,49.166666666666664
57.5,52.5,50.0,54.166666666666664,52.5
53.333333333333336,42.5,43.333333333333336,49.166666666666664,45.0
47.0,45.0,32.5,42.5,43.333333333333336
45.833333333333336,43.333333333333336,48.333333333333336,47.5,44.166666666666664
52.5,45.0,50.833333333333336,56.666666666666664,54.166666666666664
43.333333333333336,41.666666666666664,41.666666666666664,44.166666666666664,39.166666666666664
55.833333333333336,45.0,49.166666666666664,53.333333333333336,48.333333333333336
49.166666666666664,45.833333333333336,52.5,47.5,52.5
45.0,46.666666666666664,42.5,40.0,38.333333333333336
40.833333333333336,42.5,49.166666666666664,57.5,52.5
42.5,49.166666666666664,35.833333333333336,53.333333333333336,48.333333333333336
41.0,51.0,30.0,51.0,44.0
55.833333333333336,55.833333333333336,54.166666666666664,58.333333333333336,50.833333333333336
65.83333333333333,62.5,59.166666666666664,57.5,51.666666666666664
67.0,65.0,55.0,55.0,52.0
44.166666666666664,43.333333333333336,41.666666666666664,49.166666666666664,40.833333333333336
30.833333333333332,30.0,26.666666666666668,35.0,37.5
30.0,35.0,27.5,39.166666666666664,35.833333333333336
50.833333333333336,43.333333333333336,51.666666666666664,49.166666666666664,52.5
48.333333333333336,43.333333333333336,44.166666666666664,38.333333333333336,35.0
35.833333333333336,37.5,32.5,30.0,27.5
48.333333333333336,45.833333333333336,51.666666666666664,58.333333333333336,46.666666666666664
56.666666666666664,46.666666666666664,55.0,59.166666666666664,57.5
56.666666666666664,51.666666666666664,58.666666666666664,61.666666666666664,51.666666666666664
53.333333333333336,43.333333333333336,54.166666666666664,50.0,49.166666666666664
56.666666666666664,55.0,51.666666666666664,50.0,46.666666666666664
43.333333333333336,45.833333333333336,31.666666666666668,35.0,35.0
37.5,44.166666666666664,37.5,37.5,40.0
45.0,35.833333333333336,39.166666666666664,38.333333333333336,43.333333333333336
48.0,42.5,33.333333333333336,37.5,35.0
45.833333333333336,45.833333333333336,50.0,52.5,50.0
51.666666666666664,43.333333333333336,48.333333333333336,45.0,42.5
46.666666666666664,47.5,43.333333333333336,48.333333333333336,40.0
55.0,46.666666666666664,48.333333333333336,51.666666666666664,45.0
60.0,51.666666666666664,45.0,48.333333333333336,45.833333333333336
40.0,40.0,32.5,40.833333333333336,35.833333333333336
45.833333333333336,44.166666666666664,43.333333333333336,39.166666666666664,41.666666666666664
39.166666666666664,41.666666666666664,40.833333333333336,43.333333333333336,43.333333333333336
27.5,22.0,15.0,22.5,21.666666666666668
50.0,50.0,46.666666666666664,49.166666666666664,45.833333333333336
51.666666666666664,49.166666666666664,49.166666666666664,50.833333333333336,47.5
50.0,48.333333333333336,43.333333333333336,45.0,44.166666666666664
51.666666666666664,50.0,48.333333333333336,56.666666666666664,48.333333333333336
53.333333333333336,53.333333333333336,45.833333333333336,51.666666666666664,45.0
45.833333333333336,46.666666666666664,43.333333333333336,43.333333333333336,42.5
43.333333333333336,38.333333333333336,45.0,41.666666666666664,41.666666666666664
59.166666666666664,45.833333333333336,56.666666666666664,48.333333333333336,46.666666666666664
44.166666666666664,30.0,36.666666666666664,28.333333333333332,21.666666666666668
50.0,53.0,53.0,54.0,45.0
51.0,46.0,45.0,45.0,45.0
59.166666666666664,55.0,55.0,60.0,49.166666666666664
53.0,50.0,46.0,51.0,45.0
53.75,52.5,47.5,41.25,38.75
35.0,37.0,30.0,28.0,29.0
45.0,41.666666666666664,45.833333333333336,47.5,44.166666666666664
41.666666666666664,48.333333333333336,40.833333333333336,43.333333333333336,43.333333333333336
28.333333333333332,42.833333333333336,34.166666666666664,38.333333333333336,32.5
54.166666666666664,52.5,47.5,46.666666666666664,47.5
65.83333333333333,52.5,55.833333333333336,56.666666666666664,57.5
47.5,50.0,45.833333333333336,50.833333333333336,46.666666666666664
45.833333333333336,46.666666666666664,49.166666666666664,51.666666666666664,47.5
53.0,41.0,51.0,51.0,43.0
46.666666666666664,46.666666666666664,44.5,48.333333333333336,40.0
45.833333333333336,46.666666666666664,40.0,42.5,40.0
41.666666666666664,40.0,38.333333333333336,44.166666666666664,40.833333333333336
48.333333333333336,46.666666666666664,43.333333333333336,47.5,41.666666666666664
51.666666666666664,44.166666666666664,53.333333333333336,53.333333333333336,50.833333333333336
44.166666666666664,38.333333333333336,34.166666666666664,45.0,45.0
45.0,40.0,32.0,38.0,31.25
58.333333333333336,58.333333333333336,61.0,61.0,57.0
60.0,47.0,55.0,46.0,55.0
56.666666666666664,50.0,54.166666666666664,60.0,54.166666666666664
47.5,45.833333333333336,44.166666666666664,53.333333333333336,50.0
49.166666666666664,43.333333333333336,46.666666666666664,51.666666666666664,43.333333333333336
36.666666666666664,35.0,40.0,34.166666666666664,32.5
45.0,42.5,45.833333333333336,45.0,45.833333333333336
40.0,35.833333333333336,39.166666666666664,36.666666666666664,37.5
52.5,45.833333333333336,42.5,54.166666666666664,44.166666666666664
55.833333333333336,53.0,51.0,58.0,50.0
50.833333333333336,53.333333333333336,47.5,48.333333333333336,46.666666666666664
51.666666666666664,50.0,47.5,57.5,45.0
45.833333333333336,37.5,45.0,36.666666666666664,35.833333333333336
40.833333333333336,38.333333333333336,35.833333333333336,33.333333333333336,35.0
45.0,41.666666666666664,39.166666666666664,44.166666666666664,36.666666666666664
44.166666666666664,42.5,43.333333333333336,41.666666666666664,39.166666666666664
42.0,43.0,42.0,41.0,45.0
50.0,37.5,41.666666666666664,41.0,35.0
41.666666666666664,39.166666666666664,42.5,48.333333333333336,47.5
34.166666666666664,35.833333333333336,34.0,44.0,44.0
39.166666666666664,42.5,38.333333333333336,42.5,41.666666666666664
53.333333333333336,54.166666666666664,52.5,57.5,48.333333333333336
49.166666666666664,48.333333333333336,44.166666666666664,51.666666666666664,41.666666666666664
38.333333333333336,40.0,32.5,35.0,30.833333333333332
49.166666666666664,50.0,48.333333333333336,50.833333333333336,45.833333333333336
51.666666666666664,50.0,43.333333333333336,53.333333333333336,50.0
32.5,36.666666666666664,30.0,32.5,30.833333333333332
51.666666666666664,48.333333333333336,46.666666666666664,44.166666666666664,44.166666666666664
54.0,42.0,51.0,51.0,42.0
44.0,35.0,38.0,36.0,29.0
50.833333333333336,42.5,49.166666666666664,49.166666666666664,50.833333333333336
33.333333333333336,32.5,30.833333333333332,47.5,45.833333333333336
48.333333333333336,43.333333333333336,40.833333333333336,46.666666666666664,40.0
54.166666666666664,45.0,49.166666666666664,47.5,42.5
46.666666666666664,34.166666666666664,39.166666666666664,30.833333333333332,31.666666666666668
45.0,38.75,42.0,38.0,34.0
43.333333333333336,39.166666666666664,40.0,50.833333333333336,47.5
45.0,42.0,44.0,55.0,51.0
45.0,38.333333333333336,40.0,46.666666666666664,35.0
60.0,46.666666666666664,53.333333333333336,51.666666666666664,50.0
53.333333333333336,45.0,53.333333333333336,48.333333333333336,50.0
53.0,38.0,49.0,60.0,48.0
42.5,35.833333333333336,42.5,43.333333333333336,43.333333333333336
44.166666666666664,40.833333333333336,35.0,45.0,43.333333333333336
40.833333333333336,33.333333333333336,38.333333333333336,41.666666666666664,33.0
50.833333333333336,39.166666666666664,46.666666666666664,43.333333333333336,43.333333333333336
49.166666666666664,47.5,40.833333333333336,48.333333333333336,41.666666666666664
42.5,44.166666666666664,40.0,42.5,34.166666666666664
48.0,44.0,40.0,44.0,40.0
46.0,43.0,42.0,42.0,41.0
42.0,43.0,37.0,44.0,36.0
47.5,47.5,47.5,49.166666666666664,46.666666666666664
45.833333333333336,45.833333333333336,38.333333333333336,49.166666666666664,44.166666666666664
30.833333333333332,38.333333333333336,24.166666666666668,37.5,34.166666666666664
41.666666666666664,40.0,43.333333333333336,51.666666666666664,44.166666666666664
35.833333333333336,35.833333333333336,35.0,47.5,44.166666666666664
39.166666666666664,45.0,31.666666666666668,44.166666666666664,43.333333333333336
45.0,41.666666666666664,43.333333333333336,43.333333333333336,40.0
42.5,39.166666666666664,37.5,39.166666666666664,35.0
40.833333333333336,40.0,44.166666666666664,45.833333333333336,36.666666666666664
49.166666666666664,50.833333333333336,44.166666666666664,46.666666666666664,41.666666666666664
59.166666666666664,55.0,52.5,54.166666666666664,49.166666666666664
39.5,38.333333333333336,34.166666666666664,31.666666666666668,35.833333333333336
47.5,41.666666666666664,47.5,50.0,40.833333333333336
41.666666666666664,37.5,32.5,39.166666666666664,40.0
39.166666666666664,35.833333333333336,42.5,47.5,36.0
45.0,42.5,42.5,39.166666666666664,39.166666666666664
44.166666666666664,31.666666666666668,40.0,34.166666666666664,37.5
45.833333333333336,43.333333333333336,38.333333333333336,41.666666666666664,32.5
48.333333333333336,42.5,41.666666666666664,58.333333333333336,46.666666666666664
45.833333333333336,44.166666666666664,40.833333333333336,47.5,43.333333333333336
49.166666666666664,50.0,45.0,52.5,48.333333333333336
50.0,42.5,44.166666666666664,52.5,44.166666666666664
42.0,38.0,40.0,49.0,45.0
50.833333333333336,48.333333333333336,47.5,44.166666666666664,39.166666666666664
49.166666666666664,43.333333333333336,44.166666666666664,46.666666666666664,40.833333333333336
50.0,46.666666666666664,42.5,46.666666666666664,41.666666666666664
48.333333333333336,40.0,45.0,56.666666666666664,39.166666666666664
59.166666666666664,51.666666666666664,50.0,50.833333333333336,50.0
62.5,60.833333333333336,45.833333333333336,42.5,46.666666666666664
46.666666666666664,48.333333333333336,43.333333333333336,50.0,40.833333333333336
